DOEID,House,School,Income,Climate,UR,TOTSQFT,HDD65,CDD65,KWH,TOTALBTUSPH,TOTALBTUCOL,STOVEN,OVEN
1,Single-Family Detached,Bachlor's,110000,Mixed-Humid,U,5075,4742,1080,18466,10873,10471,1,0
2,Single-Family Detached,High School,32500,Marine,U,3136,2662,199,5148,38606,621,1,0
4,Single-Family Detached,High School,37500,"Very Cold/
Cold",U,2023,6034,672,10015,40196,3627,0,1
5,Single-Family Attached,Bachlor's,87500,"Very Cold/
Cold",U,1912,5388,702,2869,36136,0,1,0
6,Single-Family Detached,Associate's,17500,"Very Cold/
Cold",U,3485,8866,270,6387,74100,937,1,0
7,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,2654,5213,749,11821,70109,4179,1,0
9,Single-Family Attached,Some College,37500,Mixed-Humid,U,1635,4826,1027,9130,29747,1369,1,0
10,Single-Family Detached,Some College,52500,Mixed-Humid,U,2390,4687,1205,7474,34072,3687,1,0
12,Single-Family Detached,Master's,130000,Mixed-Humid,U,2185,4732,1034,11807,53682,4585,1,0
13,Single-Family Detached,Some k-12,62500,Hot-Humid,U,1387,6,3890,9775,0,0,1,0
16,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,4740,4801,946,13020,57708,8175,1,0
17,Single-Family Detached,Some k-12,1250,Mixed-Humid,R,1482,3423,1604,2079,0,1507,0,0
19,Mobile Home,Some College,37500,"Very Cold/
Cold",U,1107,6692,279,6877,45359,0,1,0
20,Single-Family Detached,Some College,92500,"Very Cold/
Cold",U,3863,8059,471,12497,61175,2679,1,0
21,Single-Family Detached,Bachlor's,97500,"Hot-Dry/
Mixed-Dry",U,3168,1135,1578,12200,25070,13432,1,0
22,Single-Family Detached,Some College,82500,"Very Cold/
Cold",U,1584,6225,673,9187,50040,1927,1,0
23,Single-Family Detached,High School,130000,Mixed-Humid,U,3042,5534,607,13984,83837,0,0,2
24,Single-Family Detached,Bachlor's,12500,Hot-Humid,R,3834,454,3748,4413,768,8870,1,0
25,Single-Family Detached,Some College,32500,"Very Cold/
Cold",U,4455,8510,238,19041,125153,1748,1,0
28,Single-Family Detached,High School,1250,"Hot-Dry/
Mixed-Dry",U,1090,871,1364,2170,22312,0,1,0
29,Mobile Home,Some College,3750,Hot-Humid,U,400,520,3739,2447,0,2488,1,0
30,Single-Family Detached,Some College,62500,Hot-Humid,U,2410,1924,2935,13137,7466,0,1,0
31,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,1638,6510,424,11009,52331,1029,1,0
32,Single-Family Attached,High School,12500,"Hot-Dry/
Mixed-Dry",U,840,1215,792,6925,0,0,1,0
33,Single-Family Detached,High School,37500,Mixed-Humid,R,1800,5205,941,32493,33211,2807,1,0
34,Single-Family Attached,Some College,32500,"Very Cold/
Cold",U,2013,5563,655,3222,42435,587,1,0
35,Single-Family Attached,Master's,37500,Hot-Humid,U,1998,1836,2966,20250,7378,19496,1,0
36,Single-Family Detached,Bachlor's,82500,Mixed-Humid,U,2191,5339,809,19950,21045,1663,1,0
37,Single-Family Detached,High School,67500,Mixed-Humid,U,3822,3981,1573,36967,25655,11463,0,1
38,Single-Family Detached,High School,32500,Mixed-Humid,U,3120,5456,872,7435,71259,3649,1,0
41,Single-Family Detached,Bachlor's,8750,"Very Cold/
Cold",U,1800,7164,461,10143,34656,2506,1,0
42,Single-Family Detached,Some College,32500,"Hot-Dry/
Mixed-Dry",U,2119,2527,1833,15219,27445,7995,1,0
45,Single-Family Detached,Master's,130000,"Very Cold/
Cold",R,3744,7458,388,8429,65079,0,2,0
46,Single-Family Attached,Some k-12,22500,"Hot-Dry/
Mixed-Dry",U,1131,1228,1250,2840,14061,0,1,0
48,Mobile Home,Some k-12,47500,Mixed-Humid,R,1120,4773,926,22070,17341,4169,1,0
49,Single-Family Detached,Associate's,67500,Mixed-Humid,U,1820,3158,1685,14517,44100,10956,1,0
51,Single-Family Detached,High School,22500,Mixed-Humid,U,846,4660,1352,1572,2236,260,1,0
52,Single-Family Attached,Bachlor's,67500,Hot-Humid,U,1564,2261,2620,12914,7832,10209,1,0
54,Single-Family Detached,Bachlor's,130000,Hot-Humid,U,2403,1398,2844,17752,5610,18428,0,2
55,Single-Family Detached,Some College,37500,"Hot-Dry/
Mixed-Dry",U,1372,2750,2069,7151,27910,3349,1,0
57,Single-Family Detached,Associate's,62500,Hot-Humid,U,2800,2472,2264,14668,18227,12120,1,0
58,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,1748,5966,579,16129,63184,5502,1,0
59,Single-Family Detached,Some College,72500,"Very Cold/
Cold",U,2304,5734,698,4468,36556,0,1,0
60,Single-Family Detached,Some k-12,110000,"Very Cold/
Cold",U,2116,6233,514,42687,5073,1615,1,0
62,Single-Family Detached,Some k-12,17500,Hot-Humid,U,1323,2243,2618,14287,9756,11078,1,0
64,Single-Family Detached,Bachlor's,52500,"Very Cold/
Cold",U,1518,5829,905,3305,60287,781,1,0
65,Single-Family Detached,Some College,42500,"Hot-Dry/
Mixed-Dry",U,1155,1131,1203,8532,4048,1376,2,0
66,Single-Family Detached,Master's,47500,Hot-Humid,U,2040,138,4528,11649,1700,15870,1,0
70,Single-Family Detached,High School,92500,Mixed-Humid,U,1200,3407,1772,16186,48739,9673,1,0
71,Single-Family Detached,Bachlor's,6250,"Hot-Dry/
Mixed-Dry",U,2214,827,4851,6618,3293,4410,1,0
73,Single-Family Detached,High School,52500,Hot-Humid,R,2092,2803,1929,9728,33807,8866,1,0
75,Single-Family Detached,Some College,1250,Mixed-Humid,U,4620,3131,1674,27067,28790,19069,0,1
76,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,3604,6185,665,11226,106113,2478,1,0
77,Mobile Home,Master's,42500,"Very Cold/
Cold",U,840,6571,371,4475,34398,420,1,0
79,Single-Family Detached,Bachlor's,37500,"Very Cold/
Cold",R,2626,5852,657,6842,82346,2366,1,0
86,Single-Family Detached,Bachlor's,110000,Hot-Humid,U,1546,49,4209,4118,0,4450,1,0
87,Single-Family Detached,Master's,77500,"Very Cold/
Cold",R,3032,7761,37,15542,2496,0,0,1
89,Single-Family Detached,High School,47500,Hot-Humid,U,3483,2268,2532,18628,60065,19601,1,0
90,Single-Family Detached,Associate's,52500,"Very Cold/
Cold",U,3074,6499,382,7954,95580,1688,1,0
92,Mobile Home,High School,22500,"Hot-Dry/
Mixed-Dry",R,784,3707,1016,2624,1846,997,1,0
93,Single-Family Attached,Some College,97500,Mixed-Humid,U,1864,4287,1324,7383,43825,4529,1,0
95,Single-Family Detached,Some College,27500,Mixed-Humid,U,1972,3346,1317,13292,8897,5715,1,0
96,Single-Family Detached,Associate's,27500,Mixed-Humid,U,2880,4194,1528,5453,80253,4339,1,1
97,Single-Family Detached,Some k-12,82500,"Very Cold/
Cold",R,4430,7878,323,16240,141836,2046,1,1
99,Mobile Home,High School,22500,Mixed-Humid,R,540,3861,1439,10354,31017,8513,1,0
100,Single-Family Attached,Professional,130000,"Hot-Dry/
Mixed-Dry",U,1692,1211,910,4847,6682,1582,0,1
101,Single-Family Detached,Professional,130000,Hot-Humid,U,2262,2082,2774,18563,9049,15085,0,1
102,Single-Family Detached,High School,62500,Mixed-Humid,U,2324,5300,968,22836,18302,5826,1,0
103,Single-Family Detached,High School,130000,Mixed-Humid,U,4051,4824,1153,9660,67030,4506,0,2
104,Single-Family Detached,Associate's,110000,Mixed-Humid,U,2023,4885,787,4148,112344,1432,1,0
105,Mobile Home,Associate's,47500,Mixed-Humid,R,1431,4177,1251,12458,24756,4296,1,0
106,Single-Family Detached,Associate's,42500,"Hot-Dry/
Mixed-Dry",U,800,1108,1226,2771,9713,0,1,0
107,Single-Family Detached,Associate's,110000,"Very Cold/
Cold",U,2646,6939,281,6719,41317,713,1,0
108,Single-Family Detached,Professional,52500,Mixed-Humid,U,2520,3353,1621,8052,78003,0,1,0
113,Single-Family Detached,Some College,62500,"Very Cold/
Cold",U,3438,6941,390,22494,43447,770,1,0
114,Single-Family Detached,Some College,17500,Marine,U,2892,5132,322,6851,58334,156,1,0
115,Single-Family Detached,Bachlor's,110000,Mixed-Humid,U,6360,3704,1250,15929,41459,0,1,1
116,Single-Family Detached,High School,92500,"Very Cold/
Cold",U,5378,6496,388,10453,73640,2459,1,0
117,Single-Family Attached,Bachlor's,110000,Mixed-Humid,U,1581,4799,894,5402,97917,802,1,0
118,Single-Family Detached,Master's,72500,"Very Cold/
Cold",U,2190,6997,512,12410,124993,1328,1,0
121,Single-Family Detached,Master's,17500,Mixed-Humid,R,1232,3519,1458,17144,17646,3752,1,0
129,Single-Family Detached,Some k-12,72500,"Very Cold/
Cold",R,2016,6141,716,35091,23212,0,1,0
130,Single-Family Detached,High School,27500,"Hot-Dry/
Mixed-Dry",U,1710,3026,597,3149,3977,0,1,0
131,Single-Family Detached,Associate's,82500,Mixed-Humid,U,3667,3873,1243,18212,57265,13266,0,1
133,Single-Family Detached,Bachlor's,27500,Hot-Humid,R,2085,1024,2621,10114,3656,10346,1,1
135,Single-Family Detached,Professional,130000,Marine,R,3597,2610,214,8604,18886,0,1,0
137,Single-Family Detached,Bachlor's,1250,Mixed-Humid,U,5987,3679,1293,7038,25257,0,2,0
138,Single-Family Attached,Doctorate,97500,Hot-Humid,U,3258,1849,2911,8537,2484,13315,1,0
139,Mobile Home,Associate's,12500,"Very Cold/
Cold",U,741,5413,775,3658,55089,0,1,0
140,Mobile Home,No schooling,17500,Hot-Humid,U,910,1334,2817,24166,9123,0,1,0
141,Single-Family Detached,Master's,130000,Mixed-Humid,R,5503,4465,1269,24698,12858,0,0,2
142,Single-Family Attached,Some k-12,1250,Mixed-Humid,U,2395,4314,1314,5876,54704,912,1,0
145,Single-Family Detached,Professional,82500,"Very Cold/
Cold",R,2944,7491,555,12658,62459,637,1,0
146,Single-Family Detached,Bachlor's,27500,Hot-Humid,U,1392,1396,2955,11797,6443,5720,0,2
147,Single-Family Detached,Some College,1250,Hot-Humid,U,1828,1322,3018,10928,19205,14330,1,0
150,Single-Family Detached,High School,82500,Mixed-Humid,U,1200,4864,793,4647,51124,2458,1,0
151,Mobile Home,Some k-12,3750,Mixed-Humid,R,840,3508,1419,28058,38919,7631,1,0
153,Single-Family Detached,Associate's,72500,Mixed-Humid,R,4998,3377,1723,13559,29835,16541,1,0
154,Single-Family Detached,High School,47500,Hot-Humid,U,1744,2522,2419,14598,7809,11501,0,1
155,Single-Family Detached,Bachlor's,37500,Mixed-Humid,R,4488,3609,1817,14943,85443,13933,1,0
156,Single-Family Detached,Some College,72500,Mixed-Humid,U,2271,4782,1330,7089,68624,5212,1,0
157,Single-Family Detached,Bachlor's,22500,"Very Cold/
Cold",U,1929,5447,746,3977,88750,0,1,0
159,Single-Family Detached,High School,22500,Mixed-Humid,U,414,4350,1167,1790,61012,807,1,0
